,Measures,Single operand,Numerator,Denominator
22649,gdp per capita _ growth rate,,,
22650,gdp per hour worked _ growth rate,,,
22651,gdp per hour worked in us dollar,,,
22652,gini index of regional unemployment rates,,,
22653,harmonized unemployment rates and levels _hurs_,,,
22654,hourly earnings _mei_,,,
22655,hours worked,,,
22656,involuntary part time workers,,,
22657,job tenure,,,
22658,job vacancies,,,
22659,labor compensation per employeehour _us dollar ppp adjusted_,,,
22660,labor compensation per unit labor input,,,
22661,labor costs,,,
22662,labor force statistics,,,
22663,labor income share ratios,,,
22664,labor market programs,,,
22665,labor productivity growth,,,
22666,labor productivity per unit labor input,,,
22667,labor productivity total economy,,,
22668,labour compensation per unit labour input_ total economy _ growth rate,,,
22669,labour utilization _ growth rate,,,
22670,long_term unemployment,,,
22671,minimum relative to average wages of full_time workers,,,
22672,minimum wages at current prices in ncu,,,
22673,multi_factor productivity,,,
22674,oecd estimates of labor productivity levels,,,
22675,permanent temporary employment,,,
22676,productivity levels and gdp per capita,,,
22677,public expenditure and participant stocks on lmp,,,
22678,real hourly minimum wages,,,
22679,real output and total labor cost,,,
22680,regional difference in the employment rate_ country average,,,
22681,regional difference in the employment rate_ maximum,,,
22682,regional difference in the employment rate_ minimum,,,
22683,regional labor market,,,
22684,regional variation of the long_term unemployment rate_ maximum,,,
22685,regional variation of the long_term unemployment rate_ minimum,,,
22686,registered unemployed and job vacancies _mei_,,,
22687,registered unemployment rates and levels,,,
22688,strictness of employment protection _ collective dismissals,,,
22689,strictness of employment protection _ overall,,,
22690,strictness of employment protection _ regular employment,,,
22691,strictness of employment protection _ temporary employment,,,
22692,survey based unemployment rates and levels,,,
22693,total labor cost and real output,['total labor cost and real output'],,
22694,trade union density,,,
22695,unemployment by duration,,,
22696,unemployment rates of foreign_born populations_ men ,,,
22697,unemployment rates of foreign_born populations_ total ,,,
22698,unemployment rates of foreign_born populations_ women ,,,
22699,unemployment rates of native_born populations_ men ,,,
22700,unemployment rates of native_born populations_ total ,,,
22701,unemployment rates of native_born populations_ women ,,,
22702,union members and employees,,,
22703,unit labor costs,,,
22704,unit labour costs_ total economy _ growth rate,,,
22705,usual hours worked by weekly hour bands,,,
22706,percentage of employed population_ by category of employment_ sex and area,,['employed population employed'],['Total number of employed population']
22707,annual real average wages,,,
22708,estructure of urban occupied population by sex and the main occupational groups,,,
22709,gender urban wage ratio_ by years of education completed,,,
22710,real minimum wage,,,
22711,total employed population_ by sector of economic activity_ sex and area,['total employed population_ by sector of economic activity_ sex and area'],,
22712,total employed population_ by sector of economic activity_ sex_ productivity level and area,['total employed population_ by sector of economic activity_ sex_ productivity level and area'],,
22713,total occupied population_ by main sector of economic activity and by sex and area,['total occupied population_ by main sector of economic activity and by sex and area'],,
22714,total urban employed female population_ by occupational group,['total urban employed female population_ by occupational group'],,
22715,total urban employed male population_ by occupational group,['total urban employed male population_ by occupational group'],,
22716,total urban employed population_ by occupational group,['total urban employed population_ by occupational group'],,
22717,unemployment rate by sex,,,
22718,urban open unemployment rate_ by sex and age group _eclac_,,,
22719,urban open unemployment rate_ by years of schooling and sex _eclac_,,,
22720,percentage of women men employed in un_ ngos_ and civil service at all levels,,['women men employed'],['Total number of women men']
22721,percentage of women men in employmentincome generating schemes,,['women men'],['Total number of employmentincome generating schemes']
22722,percentage of women in employment_ both wage and self_employment_ by type,,['women employment both wage self_employment _ type'],['self_employment _ type']
22723,percentage of womenmen in emergency reconstruction and rehabilitation work,,['womenmen'],['Total number of emergency reconstruction and rehabilitation work']
22724,domestic workers_ female _percentage of total employment_,,['_ female _percentage total employment _'],['total employment _']
22725,domestic workers_ male _percentage of total employment_,,['total employment'],"[""Total number of ['total', 'employment']""]"
22726,employment in agriculture _percentage of total employment_,,['agriculture _percentage total employment'],['_percentage total employment']
22727,employment in services _percentage of total employment_,,['services _percentage total employment'],['_percentage total employment']
22728,employment to population ratio _percent ages 15 and older_,,,
22729,gender gaps in earnings in wage and self_employment,,,
22730,labour force participation rate _percent ages 15 and older_,,,
22731,labour force participation rate_ female _percent ages 15 and older_,,,
22732,labour force participation rate_ male _percent ages 15 and older_,,,
22733,labour force with tertiary education ,,,
22734,long term unemployment rate _percentage of the labour force_,,['the labour'],"[""Total number of ['the', 'labour', 'force']""]"
22735,mandatory paid maternity leave _days_,,,
22736,total unemployment rate _percentage of labour force_,,['labour force'],"[""Total number of ['labour', 'force']""]"
