,Measures,Single_operand,Numerator,Denominator
1424,average speed to answer phone call,,[' speed to answer phone call '],[' answer phone call ']
1425,average spend per customer,,[' spend per customer '],[' customer ']
1426,average spend per visit in the zoo and wildlife park,,[' spend per visit in the zoo and wildlife park '],[' visit in the zoo and wildlife park ']
1427,average spent by customer value,,[' spent by customer value '],['average spent by customer value ']
1428,average staff length of service,,[' staff length of service '],[' service ']
1429,average staff retirement cost,,[' staff retirement cost '],['average staff retirement cost ']
1430,average staff turnover costs,,[' staff turnover costs '],['average staff turnover costs ']
1431,average stage length,,[' stage length '],['average stage length ']
1432,average stakeholder satisfaction with outcome of projects,,[' stakeholder satisfaction with outcome of projects '],[' projects ']
1433,average stakeholder satisfaction with project management,,[' stakeholder satisfaction with project management '],['average stakeholder satisfaction with project management ']
1434,average standard order to shipment lead time for major products,,[' standard order to shipment lead time for major products '],[' shipment lead time for major products ']
1435,average star ratings of partner after task updation,,[' star ratings of partner after task updation '],[' partner after task updation ']
1436,average star ratings of service partner,,[' star ratings of service partner '],[' service partner ']
1437,average stock value,,[' stock value '],['average stock value ']
1438,average stocktaking discrepancies per department,,[' stocktaking discrepancies per department '],[' department ']
1439,average stops per trip,,[' stops per trip '],[' trip ']
1440,average storage or disk read time,,[' storage or disk read time '],['average storage or disk read time ']
1441,average storage or disk seek time,,[' storage or disk seek time '],['average storage or disk seek time ']
1442,average storage or disk write time,,[' storage or disk write time '],['average storage or disk write time ']
1443,average store costs per shelf space m2,,[' store costs per shelf space m2 '],[' shelf space m2 ']
1444,average store employee costs per shelf space m2,,[' store employee costs per shelf space m2 '],[' shelf space m2 ']
1445,average store fixed costs per shelf space m2,,[' store fixed costs per shelf space m2 '],[' shelf space m2 ']
1446,average store profit per shelf space m2,,[' store profit per shelf space m2 '],[' shelf space m2 ']
1447,average store revenue per m2,,[' store revenue per m2 '],[' m2 ']
1448,average store revenue per shelf space m2,,[' store revenue per shelf space m2 '],[' shelf space m2 ']
1449,average store variable costs per shelf space m2,,[' store variable costs per shelf space m2 '],[' shelf space m2 ']
1450,average story turnaround time hours,,[' story turnaround time hours '],['average story turnaround time hours ']
1451,average street time per police officer,,[' street time per police officer '],[' police officer ']
1452,average student credit hours taught by tenure to tenure track faculty by college,,[' student credit hours taught by tenure to tenure track faculty by college '],[' tenure track faculty by college ']
1453,average student credit hours taught by tenure track faculty,,[' student credit hours taught by tenure track faculty '],['average student credit hours taught by tenure track faculty ']
1454,average student free application for federal student aid _fasfa unmet financial need,,[' student free application for federal student aid _fasfa unmet financial need '],['average student free application for federal student aid _fasfa unmet financial need ']
